antecedents,consequents,support,confidence
rolls/buns,other vegetables,0.010559379803515338,0.0959902794653706
other vegetables,rolls/buns,0.010559379803515338,0.08648056923918994
whole milk,other vegetables,0.014836596939116486,0.09394837071519255
other vegetables,whole milk,0.014836596939116486,0.12151067323481116
rolls/buns,whole milk,0.013967787208447505,0.12697448359659783
whole milk,rolls/buns,0.013967787208447505,0.0884468895471858
whole milk,soda,0.011628684087415625,0.07363520947947524
soda,whole milk,0.011628684087415625,0.11975223675154853
whole milk,yogurt,0.011160863463209249,0.07067287346593314
yogurt,whole milk,0.011160863463209249,0.1299610894941634
